σθ,σc,σt,SCF,B1,B2,Wet,MR
132.4,172.0,9.8,0.77,17.5,0.8921892189218921,5.5,3
43.1,122.0,5.38,0.35,22.7,0.9155283403988068,3.31,1
87.5,121.0,8.73,0.72,13.9,0.8654127803900409,9.05,3
79.1,124.0,8.64,0.64,14.4,0.8697225572979495,7.74,3
56.2,119.0,7.21,0.47,16.5,0.8857459789240156,5.52,2
62.8,120.0,6.45,0.52,18.6,0.8979833926453143,4.16,2
91.40799999999999,157.6,11.93939393939394,0.58,13.2,0.8591549295774648,6.3,3
66.78,148.4,8.48,0.45,17.5,0.891891891891892,5.1,2
51.519,132.1,6.320574162679426,0.39,20.9,0.908675799086758,4.6,2
21.5,107.5,2.6219512195121952,0.2,41.0,0.9523809523809523,1.7,0
110.352,167.2,12.666666666666666,0.66,13.2,0.8591549295774649,6.8,3
62.7,165.0,9.428571428571429,0.38,17.5,0.891891891891892,4.5,1
32.266999999999996,78.7,2.64983164983165,0.41,29.7,0.9348534201954396,3.3,0
19.580000000000002,178.0,5.705128205128205,0.11,31.2,0.937888198757764,3.7,0
34.5,150.0,5.39568345323741,0.23,27.8,0.9305555555555556,3.9,0
90.10000000000001,170.0,11.333333333333334,0.53,15.0,0.8749999999999999,6.5,2
76.02,181.0,8.341013824884794,0.42,21.7,0.9118942731277534,4.5,2
70.2,180.0,8.294930875576037,0.39,21.7,0.9118942731277534,5.0,2
11.5,115.0,5.0,0.1,23.0,0.9166666666666666,4.7,0
61.6,140.0,5.204460966542751,0.44,26.9,0.92831541218638,5.5,2
97.2,120.0,6.486486486486487,0.81,18.5,0.8974358974358975,3.8,2
